No,Nama Perusahaan,Kode Saham,Kode Subindustri,Sektor,Subsektor,Industri,Subindustri,Index,PER,PBV,ROE %,ROA %,DER,Mkt Cap,Total Rev,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,NPM %,MTD,YTD
275,PT Global Sukses Digital Tbk,DOSS,E311,Consumer Cyclicals,Leisure Goods,Consumer Electronics,Consumer Electronics,"COMPOSITE, DBX, IDXCYCLIC, ISSI",11.02,1.65,15.02,9.76,0.54,312225000000,623909206848,59.76,46.37,49.71,10.08,4.54,35.75,38.62
276,Duta Pertiwi Nusantara Tbk,DPNS,B113,Basic Materials,Basic Materials,Chemicals,Specialty Chemicals,"COMPOSITE, DBX, IDXBASIC",12.35,0.30,2.46,2.41,0.02,102650285120,9456057432,0.00,-2.52,9.15,-6.63,87.93,0.00,-3.13
277,Dua Putra Utama Makmur Tbk,DPUM,D231,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry","COMPOSITE, DBX, IDXNONCYC",-9.91,0.93,-9.41,-3.11,2.02,367400000000,871877036617,60.29,57.97,118.00,62.69,-4.25,22.47,73.02
278,Dharma Polimetal Tbk,DRMA,E111,Consumer Cyclicals,Automobiles & Components,Auto Components,Auto Parts & Equipment,"COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDXCYCLIC, IDXSMC-COM, ISSI, MBX",8.30,1.82,21.90,14.19,0.54,4870588180500,4392575987584,4.90,7.00,7.00,9.18,13.37,0.47,16.30
279,Dharma Samudera Fishing Industries Tbk,DSFI,D231,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry","COMPOSITE, DBX, IDXNONCYC, ISSI",10.52,0.57,5.43,3.23,0.68,159713653000,489077368786,18.18,28.40,76.27,85.71,3.10,23.81,82.46
280,PT Dharma Satya Nusantara Tbk.,DSNG,D232,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,"BISNIS-27, COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDX80, IDXG30, IDXNONCYC, IDXSHAGROW, IDXSMC-COM, IDXSMC-LIQ, IDXV30, IDXVESTA28, ISSI, JII70, KOMPAS100, MBX, SRI-KEHATI",11.24,1.64,14.59,9.29,0.57,17966732868000,8944918000000,-15.34,-17.86,71.43,30.81,17.87,-17.86,53.33
281,Dian Swastatika Sentosa Tbk,DSSA,A121,Energy,"Oil, Gas & Coal",Coal,Coal Production,"COMPOSITE, I-GRADE, IDX80, IDXENERGY, ISSI, KOMPAS100, LQ45, MBX",198.84,23.55,11.84,6.12,0.94,847222275840000,33706685170392,24.58,13.87,87.35,172.81,12.64,-2.84,193.83
282,Jaya Bersama Indo Tbk,DUCK,E515,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Restaurants,"COMPOSITE, IDXCYCLIC",,0.24,4.46,3.06,0.46,225866080000,179775375019,0.00,0.00,0.00,0.00,22.89,0.00,0.00
283,Duta Pertiwi Tbk,DUTI,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, IDXSMC-COM, ISSI",24.01,0.61,2.56,2.13,0.20,8177000000000,1696537425748,-5.31,-4.65,8.47,-16.67,20.07,-4.43,13.26
284,Darya-Varia Laboratoria Tbk,DVLA,F211,Healthcare,Pharmaceuticals & Health Care Research,Pharmaceuticals,Pharmaceuticals,"COMPOSITE, DBX, IDXHEALTH, IDXSMC-COM, ISSI",10.71,1.21,11.28,7.25,0.56,1853600000000,1628193562000,-0.60,2.48,-1.79,-0.90,10.63,0.00,3.13
285,Dwi Guna Laksana Tbk,DWGL,A122,Energy,"Oil, Gas & Coal",Coal,Coal Distribution,"COMPOSITE, DBX, IDXENERGY, IDXSMC-COM, ISSI",18.54,7.45,40.20,9.28,3.33,3108947852976,2545715201000,-12.07,33.04,21.43,10.87,6.59,-6.71,35.40
286,Dyandra Media International Tbk,DYAN,C224,Industrials,Industrial Services,Commercial Services,Business Support Services,"COMPOSITE, DBX, IDXINDUST, ISSI",7.20,0.51,7.06,4.25,0.66,376020856552,947754581005,-2.27,-2.27,-5.49,-6.52,5.51,0.00,-4.44
287,Eastparc Hotel Tbk,EAST,E512,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines","COMPOSITE, DBX, IDXCYCLIC, ISSI",11.85,0.81,6.85,6.55,0.05,383755696248,66954785798,1.06,1.06,-3.06,-17.39,48.36,2.15,-12.84
288,Electronic City Indonesia Tbk,ECII,E742,Consumer Cyclicals,Retailing,Specialty Retail,Electronics Retail,"COMPOSITE, DBX, IDXCYCLIC, ISSI",-9.93,0.22,-2.22,-1.55,0.43,246851605000,1663707936717,4.44,0.00,7.43,-37.75,-1.49,1.08,-27.13
289,Indointernet Tbk,EDGE,I121,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting,"COMPOSITE, DBX, IDXSMC-COM, IDXTECHNO, ISSI",66.70,5.12,7.68,3.42,1.24,9171935000000,595113000000,4.10,10.12,16.88,16.58,23.11,-0.22,23.51
290,Ekadharma International Tbk,EKAD,B113,Basic Materials,Basic Materials,Chemicals,Specialty Chemicals,"COMPOSITE, DBX, IDXBASIC, ISSI",21.06,0.55,2.61,2.41,0.08,663836250000,393110036761,0.53,-1.05,0.00,-13.76,8.02,-1.05,-12.96
291,PT Data Sinergitama Jaya Tbk,ELIT,I121,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting,"COMPOSITE, DBX, IDXTECHNO, ISSI",12.34,2.44,19.77,9.23,1.14,365695750260,352685245462,18.03,18.68,20.67,78.51,8.40,22.03,83.05
292,PT Pelayaran Nasional Ekalya Purnamasari Tbk,ELPI,K211,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries,"COMPOSITE, ESGSKEHATI, IDXSMC-COM, IDXTRANS, ISSI, MBX",19.77,2.34,11.81,9.59,0.23,5188400000000,760951000000,-2.10,98.86,98.86,87.17,34.48,2.94,97.74
293,Elnusa Tbk,ELSA,A131,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports",Oil & Gas Drilling Service,"COMPOSITE, ESGSKEHATI, IDX80, IDXBUMN20, IDXENERGY, IDXMESBUMN, IDXSHAGROW, IDXSMC-COM, IDXSMC-LIQ, IDXV30, ISSI, JII70, KOMPAS100, MBX",5.35,0.72,13.39,6.80,0.97,3685742500000,10477387000000,-7.17,-2.57,2.93,6.03,6.58,-3.53,12.33
294,Bakrieland Development Tbk,ELTY,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT, ISSI",179.10,0.16,0.09,0.06,0.46,957482086418,1066573000000,62.50,160.00,290.00,178.57,0.50,62.50,254.55
295,PT Merdeka Gold Resources Tbk,EMAS,B143,Basic Materials,Basic Materials,Metals & Minerals,Gold,"COMPOSITE, DBX, IDXBASIC",-135.11,9.36,-6.93,-3.76,0.84,60352267877750,1893490404,11.66,,,,-23591.22,20.32,
296,Megapolitan Developments Tbk,EMDE,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, ISSI",4.53,0.15,3.25,2.09,0.56,324950000000,123070652563,-5.83,-3.00,2.11,-24.22,58.26,0.00,-20.49
297,Elang Mahkota Teknologi Tbk,EMTK,I111,Technology,Software & IT Services,Online Applications & Services,Online Applications & Services,"COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDX80, IDXESGL, IDXSHAGROW, IDXSMC-COM, IDXTECHNO, IDXV30, IDXVESTA28, ISSI, JII70, KOMPAS100, LQ45, MBX, SRI-KEHATI",10.08,1.38,13.69,12.23,0.12,75204895566675,13763091000000,9.13,12.70,141.23,125.41,54.23,13.64,161.90
298,Champ Resto Indonesia Tbk,ENAK,E515,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Restaurants,"COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM, ISSI",-37.57,5.98,-15.91,-3.63,3.38,1462500090000,1082249545982,-3.62,-5.00,-7.64,25.47,-3.60,-0.75,-19.39
299,Energi Mega Persada Tbk,ENRG,A111,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Production & Refinery,"COMPOSITE, ESGSKEHATI, IDX80, IDXENERGY, IDXG30, IDXSMC-COM, IDXV30, ISSI, JII70, KOMPAS100, MBX, MNC36",18.93,2.12,11.20,4.89,1.29,25951036796250,6032167111776,62.64,148.74,478.13,487.30,22.73,23.85,511.57
300,Envy Technologies Indonesia Tbk,ENVY,I121,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting,"COMPOSITE, IDXTECHNO",-9.36,-1.69,,-64.59,-1.28,90000000000,570233703,0.00,0.00,0.00,0.00,-1685.95,0.00,0.00
301,Morenzo Abadi Perkasa Tbk,ENZO,D231,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry","COMPOSITE, IDXNONCYC, ISSI",-9.05,0.59,-6.50,-2.50,1.60,92989526246,298445484185,22.50,25.64,25.64,44.12,-3.44,19.51,48.48
302,Megalestari Epack Sentosaraya Tbk,EPAC,B131,Basic Materials,Basic Materials,Containers & Packaging,Containers & Packaging,"COMPOSITE, IDXBASIC, ISSI",-9.61,1.55,-16.13,-4.28,2.77,102405400000,118242427914,28.00,-11.11,166.67,220.00,-9.01,0.00,220.00
303,Enseval Putera Megatrading Tbk,EPMT,D111,Consumer Non-Cyclicals,Food & Staples Retailing,Food & Staples Retailing,Drug Retail & Distributors,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM, ISSI",8.33,0.82,9.85,6.20,0.59,6311131200000,24434728496186,-0.43,1.30,2.19,-2.51,3.10,-0.85,-4.12
304,Erajaya Swasembada Tbk,ERAA,E742,Consumer Cyclicals,Retailing,Specialty Retail,Electronics Retail,"COMPOSITE, ECONOMIC30, IDX80, IDXCYCLIC, IDXESGL, IDXG30, IDXSHAGROW, IDXSMC-COM, IDXSMC-LIQ, IDXV30, ISSI, JII70, KOMPAS100, MBX",6.43,0.68,10.65,3.59,1.96,6603300000000,52364380092000,-5.12,-7.27,-24.44,-1.92,1.96,-0.97,-1.92
305,PT Sinar Eka Selaras Tbk,ERAL,E742,Consumer Cyclicals,Retailing,Specialty Retail,Electronics Retail,"COMPOSITE, ESGSKEHATI, IDXCYCLIC, IDXSMC-COM, ISSI, MBX",8.90,0.88,9.86,5.70,0.73,1504375000000,4294240211145,4.96,-10.30,-4.52,-3.90,3.94,0.00,-5.13
306,Eratex Djaja Tbk,ERTX,E411,Consumer Cyclicals,Apparel & Luxury Goods,Apparel & Luxury Goods,"Clothing, Accessories & Bags","COMPOSITE, DBX, IDXCYCLIC",4.98,0.46,9.19,3.36,1.73,218711764640,1448768953320,2.82,47.97,61.06,71.70,3.03,7.69,78.43
307,Sinergi Inti Plastindo Tbk,ESIP,B131,Basic Materials,Basic Materials,Containers & Packaging,Containers & Packaging,"COMPOSITE, DBX, IDXBASIC, ISSI",91.49,1.27,1.39,1.34,0.04,125424784711,43776835353,-23.01,67.31,190.00,248.00,3.13,-10.31,295.45
308,Surya Esa Perkasa Tbk,ESSA,B111,Basic Materials,Basic Materials,Chemicals,Basic Chemicals,"COMPOSITE, ECONOMIC30, ESGQKEHATI, IDX80, IDXBASIC, IDXG30, IDXSHAGROW, IDXSMC-COM, IDXSMC-LIQ, IDXVESTA28, ISSI, JII70, KOMPAS100, MBX",18.50,1.15,6.22,5.67,0.10,10680724934000,3344403928788,-6.87,-10.95,3.39,-24.69,17.27,0.00,-26.06
309,Esta Multi Usaha Tbk,ESTA,E512,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines","COMPOSITE, DBX, IDXCYCLIC, ISSI",-110.09,3.05,-2.77,-1.47,0.89,557831461170,34106364398,10.00,231.51,255.88,202.50,-14.86,0.00,202.50
310,Ever Shine Textile Industry Tbk,ESTI,E413,Consumer Cyclicals,Apparel & Luxury Goods,Apparel & Luxury Goods,Textiles,"COMPOSITE, DBX, IDXCYCLIC",22.17,1.34,6.06,2.18,1.78,380874448080,332288845824,-14.89,122.22,215.79,179.07,5.17,-25.47,192.68
311,Eterindo Wahanatama Tbk,ETWA,A221,Energy,Alternative Energy,Alternative Fuels,Alternative Fuels,"COMPOSITE, IDXBASIC",,-0.76,,-4.19,-3.05,326806998000,1757743757698,0.00,0.00,0.00,0.00,-2.10,0.00,0.00
312,PT Estee Gold Feet Tbk,EURO,D421,Consumer Non-Cyclicals,Nondurable Household Products,Personal Care Products,Personal Care Products,ABX,494.27,14.44,2.92,2.62,0.12,749354969832,9440678000,7.09,7.09,55.67,184.91,16.06,7.09,160.34
313,PT XL Axiata Tbk,EXCL,J321,Infrastructures,Telecommunication,Wireless Telecommunication Services,Wireless Telecommunication Services,"COMPOSITE, IDX80, IDXESGL, IDXG30, IDXINFRA, IDXLQ45LCL, IDXSHAGROW, IDXSMC-COM, IDXSMC-LIQ, IDXVESTA28, Investor33, ISSI, JII, JII70, KOMPAS100, LQ45, MBX, SMinfra18",-25.01,1.64,-6.57,-1.91,2.43,52597602483390,30547463000000,34.55,42.86,68.95,63.72,-6.88,29.37,64.44
314,PT FAP Agri Tbk,FAPA,D232,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM, ISSI",22.80,6.51,28.56,10.32,1.77,22593088455000,5328557786807,5.02,4.15,15.67,17.29,18.59,0.40,16.20
315,Fast Food Indonesia Tbk,FAST,E515,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Restaurants,"COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM, ISSI",-5.00,147.84,-2954.94,-11.58,254.07,2397513560760,3562692391000,-0.81,93.40,83.04,95.86,-13.45,23.00,110.62
316,Fajar Surya Wisesa Tbk,FASW,B131,Basic Materials,Basic Materials,Containers & Packaging,Containers & Packaging,"COMPOSITE, IDXBASIC, IDXSMC-COM",-16.49,2.80,-16.95,-8.25,1.05,16992122356325,5925199000000,0.00,0.00,-3.21,8.32,-17.39,0.00,9.21
317,PT MD Entertainment Tbk,FILM,E621,Consumer Cyclicals,Media & Entertainment,Entertainment & Movie Production,Entertainment & Movie Production,"COMPOSITE, ECONOMIC30, IDXCYCLIC, IDXSMC-COM, ISSI, JII70, KOMPAS100, MBX",-636.24,25.27,-3.97,-3.52,0.13,86283966557150,406419581792,94.69,175.00,340.00,193.33,-33.37,21.21,184.24
318,Fimperkasa Utama Tbk,FIMP,J211,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,,10.32,0.90,8.70,7.47,0.16,27600067275,4000000000,0.00,0.00,-26.60,53.33,66.88,0.00,40.82
319,Alfa Energi Investama Tbk,FIRE,A122,Energy,"Oil, Gas & Coal",Coal,Coal Distribution,"COMPOSITE, DBX, IDXENERGY, ISSI",-17.32,0.59,-3.42,-2.33,0.47,137208775647,230389292558,60.22,81.71,91.03,69.32,-3.44,55.21,71.26
320,FKS Multi Agro Tbk,FISH,D232,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM, ISSI",32.93,2.15,6.52,2.66,1.45,6480000000000,14772243031416,-28.31,14.98,-88.50,-88.83,1.33,-9.85,-88.83
321,Hotel Fitra International Tbk,FITT,E512,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines","COMPOSITE, DBX, IDXCYCLIC, ISSI",-129.82,11.70,-9.02,-6.57,0.37,841255472895,6360675725,-11.32,5.22,116.26,634.38,-101.88,11.02,619.39
322,Falmaco Nonwoven Industri Tbk,FLMC,D421,Consumer Non-Cyclicals,Nondurable Household Products,Personal Care Products,Personal Care Products,ABX,-3.65,4.23,-115.75,-59.41,0.95,147656250000,9128944638,-23.33,-24.77,209.62,93.98,-443.11,-7.47,91.67
323,Fortune Mate Indonesia Tbk,FMII,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, IDXSMC-COM, ISSI",88.65,2.98,3.37,3.07,0.10,2073600000000,32026000000,-12.36,-14.75,-19.59,-42.75,73.03,-3.11,-42.75
324,PT Multi Garam Utama Tbk.,FOLK,C311,Industrials,Multi-sector Holdings,Multi-sector Holdings,Multi-sector Holdings,"COMPOSITE, DBX, IDXINDUST, ISSI",-68.78,14.34,-20.85,-18.33,0.14,1065998195280,14058531318,55.26,497.47,673.77,844.00,-110.25,55.26,844.00
325,Sentra Food Indonesia Tbk,FOOD,D222,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods,"COMPOSITE, IDXNONCYC, ISSI",-10.71,-10.16,,-36.56,-3.59,185900000000,65250559081,11.94,190.32,336.89,284.62,-26.59,43.31,284.62
326,PT Fore Kopi Indonesia Tbk,FORE,D212,Consumer Non-Cyclicals,Food & Beverage,Beverages,Soft Drinks,"COMPOSITE, DBX, IDXNONCYC, ISSI",59.86,6.98,11.66,7.21,0.62,4548363227700,1041752822393,6.80,10.00,-27.63,,7.29,8.91,
327,Fortune Indonesia Tbk,FORU,E611,Consumer Cyclicals,Media & Entertainment,Media,Advertising,"COMPOSITE, DBX, IDXCYCLIC",-344.63,19.66,-5.71,-4.62,0.24,476854600000,30244927429,12.05,6.36,-20.06,-72.72,-4.57,23.04,-64.14
328,Lotte Chemical Titan Tbk,FPNI,B111,Basic Materials,Basic Materials,Chemicals,Basic Chemicals,"COMPOSITE, IDXBASIC, IDXSMC-COM, ISSI",1737.00,2.93,0.17,0.11,0.57,5093268810000,3904375644000,68.75,456.70,434.65,453.85,0.08,7.46,465.45
329,Smartfren Telecom Tbk,FREN,J321,Infrastructures,Telecommunication,Wireless Telecommunication Services,Wireless Telecommunication Services,,,,,,,,,,,,,,,
330,Fuji Finance Indonesia Tbk,FUJI,G211,Financials,Financing Service,Consumer Financing,Consumer Financing,"COMPOSITE, DBX, IDXFINANCE",83.42,5.92,7.10,6.77,0.05,1059500000000,11972539909,8.03,79.61,115.12,140.26,106.08,-7.50,126.99
331,PT Lini Imaji Kreasi Ekosistem Tbk,FUTR,E611,Consumer Cyclicals,Media & Entertainment,Media,Advertising,"COMPOSITE, DBX, IDXCYCLIC, ISSI",581.48,20.53,3.53,3.23,0.09,4512175332120,33943018206,3.50,121.56,836.71,330.23,22.86,8.82,377.42
332,PT Wijaya Cahaya Timber Tbk,FWCT,A111,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Production & Refinery,"COMPOSITE, DBX, IDXBASIC, ISSI",3.93,0.74,18.79,9.63,0.95,282672000000,1144747672598,-8.13,-6.37,-7.55,16.67,6.28,2.08,15.75
333,Aksara Global Development Tbk,GAMA,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT",,0.17,-3.28,-2.49,0.31,180198497808,11494792793,0.00,0.00,0.00,0.00,-298.82,0.00,0.00
334,Gunawan Dianjaya Steel Tbk,GDST,B144,Basic Materials,Basic Materials,Metals & Minerals,Iron & Steel,"COMPOSITE, DBX, IDXBASIC, ISSI",10.51,0.75,7.18,3.35,1.14,1072130000000,1788084294658,2.56,9.09,2.56,3.45,5.71,3.45,22.45
335,Goodyear Indonesia Tbk,GDYR,E112,Consumer Cyclicals,Automobiles & Components,Auto Components,Tires,"COMPOSITE, DBX, IDXCYCLIC, ISSI",5.99,0.45,7.48,4.07,0.84,453050000000,2007701407920,-2.24,-6.44,-8.02,-28.29,3.77,-0.91,0.00
336,Gema Grahasarana Tbk,GEMA,E211,Consumer Cyclicals,Household Goods,Household Goods,Home Furnishings,"COMPOSITE, DBX, IDXCYCLIC, ISSI",7.83,0.34,4.38,1.64,1.67,145600000000,1039714618473,5.32,-15.38,2.06,-54.59,1.79,8.79,-38.13
337,Golden Energy Mines Tbk,GEMS,A121,Energy,"Oil, Gas & Coal",Coal,Coal Production,"COMPOSITE, IDXENERGY, ISSI, MBX",10.57,4.85,45.84,26.45,0.73,52500000525000,29007560524644,-2.51,-3.06,-6.93,-20.14,17.12,-1.97,-19.03
338,Gudang Garam Tbk,GGRM,D311,Consumer Non-Cyclicals,Tobacco,Tobacco,Tobacco,"COMPOSITE, IDXNONCYC, IDXSMC-COM, IDXSMC-LIQ, KOMPAS100, MBX",26.17,0.46,1.76,1.43,0.23,28668911200000,67326797000000,-14.33,52.84,37.95,-1.10,1.63,-9.12,2.67
339,Gunung Raja Paksi Tbk,GGRP,B144,Basic Materials,Basic Materials,Metals & Minerals,Iron & Steel,"COMPOSITE, DBX, IDXBASIC, IDXSMC-COM, ISSI",-5.12,0.28,-5.41,-4.91,0.10,3027844039250,2210702017212,23.15,16.67,37.11,25.47,-26.77,3.91,3.91
340,PT Gihon Telekomunikasi Indonesia Tbk,GHON,J321,Infrastructures,Telecommunication,Wireless Telecommunication Services,Wireless Telecommunication Services,"COMPOSITE, DBX, IDXINFRA, ISSI",10.97,1.17,10.67,6.17,0.73,937750000000,159748530000,-2.08,0.92,-19.12,0.61,53.50,-3.51,4.76
341,Garuda Indonesia (Persero) Tbk,GIAA,K111,Transportation & Logistic,Transportation,Airlines,Airlines,"COMPOSITE, IDXSMC-COM, IDXTRANS, ISSI",-4.22,-0.37,,-1.98,-5.39,9422520735211,39899876434080,-1.85,58.21,32.50,89.29,-5.60,0.00,96.30
342,Gajah Tunggal Tbk,GJTL,E112,Consumer Cyclicals,Automobiles & Components,Auto Components,Tires,"COMPOSITE, IDXCYCLIC, IDXSMC-COM, ISSI, KOMPAS100, MBX",3.70,0.36,9.77,4.43,1.21,3659040000000,13122022000000,-5.63,-1.47,-14.10,-12.99,7.53,-4.29,-12.23
343,Globe Kita Terang Tbk,GLOB,E742,Consumer Cyclicals,Retailing,Specialty Retail,Electronics Retail,"COMPOSITE, IDXCYCLIC",-1.86,-0.16,,-2072.90,-1.00,172222360000,39616347812,0.00,198.08,158.33,138.46,-233.57,0.00,138.46
344,Galva Technologies Tbk,GLVA,I231,Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,"COMPOSITE, DBX, IDXTECHNO, ISSI",12.61,1.34,10.65,4.45,1.39,603000000000,1313523000000,0.00,24.85,24.10,22.62,3.64,4.04,22.62
345,Garuda Maintenance Facility Aero Asia Tbk,GMFI,J111,Infrastructures,Transportation Infrastructure,Transport Infrastructure Operator,Airport Operators,"COMPOSITE, IDXINFRA, IDXSMC-COM",5.50,-0.80,,6.61,-3.20,3155542233984,5126624526036,51.85,108.47,86.36,123.64,11.19,36.67,156.25
346,Gowa Makassar Tourism Development Tbk,GMTD,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, IDXSMC-COM, ISSI",100.21,2.82,2.82,1.77,0.59,2396296800000,136329884851,-29.14,-3.17,-14.06,-49.29,17.54,-7.36,-53.78
347,PT Visi Telekomunikasi Infrastruktur Tbk.,GOLD,J321,Infrastructures,Telecommunication,Wireless Telecommunication Services,Wireless Telecommunication Services,"COMPOSITE, DBX, IDXINFRA, ISSI",21.26,0.91,4.28,3.86,0.11,375519144000,41198203000,18.06,28.87,41.86,25.34,42.87,18.83,28.87
348,PT Intra GolfLink Resorts Tbk,GOLF,E514,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Recreational & Sports Facilities,"COMPOSITE, IDXCYCLIC, IDXSMC-COM, ISSI, MBX",55.39,0.49,0.89,0.82,0.09,3936325520000,109623113103,20.79,16.19,14.02,15.09,64.83,19.61,17.31
349,PT Golden Plantation Tbk,GOLL,D232,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,"COMPOSITE, IDXNONCYC",,2.29,-21.29,-3.54,5.01,183250037950,3749848122,0.00,0.00,0.00,0.00,-454.29,0.00,0.00
350,Garudafood Putra Putri Jaya Tbk,GOOD,D222,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods,"COMPOSITE, IDXNONCYC, IDXSMC-COM, ISSI, MBX",22.73,3.31,14.57,7.04,1.07,13726019341260,9441314621547,-3.17,-0.54,1.67,-8.96,6.39,-1.08,-9.41
351,GoTo Gojek Tokopedia Tbk.,GOTO,I131,Technology,Software & IT Services,Software,Software,"COMPOSITE, IDX30, IDX80, IDXESGL, IDXLQ45LCL, IDXTECHNO, KOMPAS100, LQ45, MBX",-45.13,2.51,-5.56,-3.84,0.45,72996689102080,13295481000000,6.25,19.30,1.49,-11.69,-12.16,1.49,-4.23
352,MVS GoTo Gojek Tokopedia Tbk.,GOTOM,I111,Technology,Software & IT Services,Online Applications & Services,Online Applications & Services,,-2.13,0.12,-5.56,-3.84,0.45,3438877640000,13295481000000,0.00,0.00,0.00,0.00,-12.16,0.00,0.00
353,Perdana Gapuraprima Tbk,GPRA,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, ISSI",4.89,0.41,8.28,6.05,0.37,577348470360,351056743533,1.54,-1.49,-15.92,46.67,33.62,-1.49,53.49
354,Geoprima Solusi Tbk,GPSO,C143,Industrials,Industrial Goods,Machinery,Industrial Machinery & Components,"COMPOSITE, DBX, IDXINDUST, ISSI",-69.58,10.78,-15.50,-12.58,0.23,446716539010,3122593621,15.75,215.30,116.67,-21.03,-205.61,27.07,-23.53
355,PT Ingria Pratama Capitalindo Tbk,GRIA,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, ISSI",101.29,1.74,1.72,1.46,0.18,685942022682,51126970721,0.00,-29.79,16.47,-26.12,13.25,6.45,0.00
356,PT Griptha Putra Persada Tbk.,GRPH,E512,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines","COMPOSITE, DBX, IDXCYCLIC, ISSI",20.06,0.84,4.20,3.21,0.31,65000000000,23546615455,1.56,-10.96,30.00,30.00,13.76,-1.52,30.00
357,PT Graha Prima Mentari Tbk.,GRPM,D212,Consumer Non-Cyclicals,Food & Beverage,Beverages,Soft Drinks,ABX,32.40,1.02,3.15,1.72,0.83,91159874580,533144822153,5.08,10.71,26.53,24.00,0.53,-1.59,29.17
358,Equity Development Investment Tbk,GSMF,G511,Financials,Holding & Investment Companies,Holding & Investment Companies,Financial Holdings,"COMPOSITE, DBX, IDXFINANCE",40.73,0.62,1.52,0.66,1.32,1622265566370,787985000000,26.53,26.53,133.96,117.54,5.05,16.98,129.63
359,Garda Tujuh Buana Tbk,GTBO,A121,Energy,"Oil, Gas & Coal",Coal,Coal Production,"COMPOSITE, DBX, IDXENERGY, ISSI",-7.19,0.69,-9.61,-8.17,0.18,520000000000,166782124080,35.58,50.80,46.11,19.49,-43.39,34.29,27.03
360,PT Grahaprima Suksesmandiri Tbk,GTRA,K211,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries,"COMPOSITE, DBX, IDXTRANS, ISSI",10.92,1.70,15.54,5.15,2.02,613777500000,454671565688,-15.43,109.93,124.24,140.65,12.37,-6.33,150.85
361,GTS Internasional Tbk,GTSI,A112,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Storage & Distribution,"COMPOSITE, IDXENERGY, ISSI, MBX",23.16,1.90,8.22,4.40,0.87,2198860844613,448592175252,137.70,205.26,625.00,778.79,21.17,62.01,559.09
